,open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,BBH,bbl
39,116.07,116.07,116.07,116.07,93.18568198530505,116.65800000000002,103.931,NaN,NaN,NaN,100,86.70980128692139,1.2403129643782456,NaN,NaN
40,116.44,116.44,116.44,116.44,95.34602742648065,116.619,108.47349999999999,NaN,NaN,NaN,800,86.85478713716343,0.9887046263506111,NaN,NaN
41,116.61,116.61,116.61,116.61,97.33354523,116.58900000000001,112.88600000000001,NaN,NaN,NaN,100,86.92536291,0.6923857658817694,NaN,NaN
42,115.26,115.26,115.26,115.26,99.16206161377322,116.35900000000001,117.255,NaN,NaN,NaN,200,83.10936994251765,0.044618234,NaN,NaN
43,114.4,114.4,114.4,114.4,100.84429668467136,116.12200000000003,117.0835,NaN,NaN,NaN,375,80.67955111461859,0.049180031306454715,NaN,NaN
44,114.3,114.3,114.3,114.3,102.39195294989766,115.83600000000004,116.7935,NaN,NaN,NaN,100,80.38525364932482,0.047463659725166356,NaN,NaN
45,114.55,114.55,114.55,114.55,103.81579671390584,115.69100000000003,116.5115,NaN,NaN,NaN,100,80.57601312341764,0.042270034081067456,NaN,NaN
46,115.76,115.8,115.75,115.77,105.12573297679337,115.65700000000001,116.322,NaN,NaN,NaN,432,81.52050458,0.035116426,NaN,NaN
47,113.71,113.71,113.24,113.24,106.3308743386499,115.30900000000001,116.07750000000001,NaN,NaN,NaN,1600,73.53505364544671,0.039207983339542014,NaN,NaN
48,112.46,112.46,112.46,112.46,107.4396043915579,114.91000000000001,115.85500000000002,NaN,NaN,NaN,100,71.21880058224761,0.047146842,NaN,NaN
49,112.47,112.47,112.47,112.47,108.45963604023328,114.55000000000003,115.60400000000001,75.30188199999999,NaN,NaN,100,71.23131186191662,0.051797111169387566,NaN,NaN
50,112.62,112.62,112.62,112.62,109.39806515701461,114.16800000000003,115.39350000000002,77.035282,NaN,NaN,200,71.43192059273164,0.055535172,NaN,NaN
51,112.8,112.8,111.8,111.8,110.26141994445345,113.68700000000004,115.138,78.767882,NaN,NaN,700,68.61511518792682,0.060494266622431916,NaN,NaN
52,112.16,113.06,112.16,113.06,111.05570634889717,113.46700000000003,114.91300000000001,80.529082,NaN,NaN,400,70.53764611974498,0.059319289,NaN,NaN
53,113.1,113.1,113.1,113.1,111.7864498409854,113.33700000000003,114.7295,82.295682,NaN,NaN,600,70.59921847993601,0.058985580879204726,NaN,NaN
54,114,114,114,114,112.16,113.30700000000002,114.57149999999999,84.08828,NaN,NaN,300,72.01628715159173,0.055954311295629056,NaN,NaN
55,114.19,114.19,114.19,114.19,112.80239999999999,113.27100000000003,114.481,85.833,NaN,NaN,200,72.31960646008507,0.054864932,NaN,NaN
56,112.82,113,111.2,111.2,120.19,112.81400000000004,114.2355,87.51700000000001,NaN,NaN,744,61.096494728254214,0.058706661,NaN,NaN
57,110.6,110.61,110.6,110.6,120.0102,112.55000000000003,113.9295,89.16879999999999,NaN,NaN,700,59.11399874596409,0.061512133,NaN,NaN
58,110,110,110,110,119.633792,112.30400000000004,113.60700000000001,90.806,NaN,NaN,100,57.118029162629604,0.065112475,NaN,NaN
59,110.77,110.77,110.77,110.77,119.0557645,112.13400000000004,113.34200000000001,92.4578,NaN,NaN,1700,59.029884076709614,0.065539747,NaN,NaN
60,111.6,111.89,111.6,111.87,118.51241861119999,112.05900000000004,113.11350000000002,94.1324,NaN,NaN,848,61.659682965922265,0.06150543,NaN,NaN
61,110.98,110.98,110.98,110.98,118.00167349452799,111.97700000000002,112.83200000000002,95.7906,NaN,NaN,200,58.393775286587655,0.056745267,NaN,NaN
62,110.03,110.03,110.03,110.03,117.52157308485631,111.67400000000002,112.57050000000001,97.4292,NaN,NaN,100,55.04243493048847,0.057202687,NaN,NaN
63,110.9,110.9,110.9,110.9,117.07027869976494,111.45400000000004,112.39550000000001,99.086,NaN,NaN,100,57.45080730592772,0.05664199,NaN,NaN
64,111.75,111.75,111.75,111.75,116.64606197777904,111.22900000000004,112.268,100.7574,NaN,NaN,100,59.721104761181124,0.054691850070389576,NaN,NaN
65,113,113,113,113,116.2472982591123,111.11000000000004,112.19050000000001,102.4484,NaN,NaN,360,62.859548765605666,0.051872616,NaN,NaN
66,113.31,113.41,113.16,113.16,115.87246036356557,111.30600000000001,112.06000000000002,104.1458,NaN,NaN,1700,63.254223132240256,0.043805834,NaN,NaN
67,116.79,116.87,116.19,116.67,110,111.91300000000004,112.23150000000003,105.9122,NaN,NaN,924,70.62809622246124,0.056009577,NaN,NaN
68,118,118,118,118,110.1374,112.71300000000004,112.50850000000005,107.7572,NaN,NaN,200,72.85123943540472,0.071584824,NaN,NaN
69,118.35,118.35,118.35,118.35,110.451904,113.47100000000003,112.80250000000004,109.60340000000001,NaN,NaN,100,73.42136318557507,0.08446476,NaN,NaN
70,120.5,121.06,120.18,121.06,110.9257898,114.39000000000003,113.2245,111.51280000000001,NaN,NaN,3118,77.38195526381021,0.10541318984118261,NaN,NaN
71,120.23,120.23,120.23,120.23,111.7365266,115.31500000000003,113.646,113.3502,NaN,NaN,1000,73.75682903288384,0.11714856893688512,NaN,NaN
72,120.83,120.83,120.83,120.83,112.4824045,116.39500000000002,114.03450000000002,115.2092,NaN,NaN,200,74.68025196509026,0.1288357469098666,NaN,NaN
73,119.41,119.66,119.4,119.63,113.16861209663489,117.26800000000003,114.36100000000002,115.24520000000001,NaN,NaN,1210,69.41913200968949,0.13503837425563803,NaN,NaN
74,120.15,120.15,120.15,120.15,113.7999231289041,118.10800000000002,114.6685,115.2462,NaN,NaN,100,70.39250843709836,0.14161096149650018,NaN,NaN
75,121.35,122.27,121.35,122.27,114.38072927859177,119.03500000000001,115.07250000000002,115.2878,NaN,NaN,900,74.02279302473765,0.15229254369776477,NaN,NaN
76,122.58,122.65,121.92,121.92,115.1696563507326,119.91100000000002,115.6085,115.335,NaN,NaN,1263,72.44352622269435,0.15666354336777338,NaN,NaN
77,120.38,120.38,120.38,120.38,116.06729758864468,120.28200000000001,116.09750000000001,115.38,NaN,NaN,500,65.79228960059285,0.15464709426571294,NaN,NaN
78,120,120,120,120,116.85722187800732,120.48200000000001,116.59750000000004,115.4418,NaN,NaN,100,64.22533380132697,0.14874531989460052,NaN,NaN
79,118.95,118.95,118.7,118.7,117.55235525264645,120.51700000000001,116.99400000000003,115.46600000000001,NaN,NaN,699,59.04443449,0.1416516937393325,NaN,NaN
80,117.16,117.65,117.14,117.65,122.65,120.17600000000002,117.28300000000002,115.4824,NaN,NaN,2297,55.173132468770945,0.13552608090950669,NaN,NaN
81,117.52,117.52,117.52,117.52,122.5398,119.90500000000002,117.61000000000001,115.49459999999999,NaN,NaN,128,54.69498230437391,0.1258855455762327,NaN,NaN
82,117.87,118.45,117.87,118.45,122.431804,119.667,118.03100000000003,115.5124,NaN,NaN,576,57.53053509010641,0.11077848343491468,NaN,NaN
83,118.84,118.84,118.84,118.84,122.3259679,119.58800000000001,118.42800000000003,115.5538,NaN,NaN,1000,58.697960839153104,0.095638396,NaN,NaN
84,118.88,118.88,118.88,118.88,122.2222486,119.46100000000001,118.78450000000002,115.5882,NaN,NaN,200,58.82298312264396,0.080192555,NaN,NaN
85,119.65,119.7,119.31,119.31,122.12060359036799,119.165,119.10000000000002,115.65440000000001,NaN,NaN,1318,60.21711964320425,0.066430432,NaN,NaN
86,118.92,118.92,118.67,118.67,122.02099151856063,118.84000000000003,119.37550000000002,115.70559999999999,NaN,NaN,200,57.117449826766965,0.048343104,NaN,NaN
87,119.5,119.5,119.5,119.5,121.92337168818942,118.75200000000004,119.51700000000001,115.76119999999999,NaN,NaN,100,59.99357635279253,0.043589230947841395,NaN,NaN
88,120.16,120.16,120.16,120.16,121.82770425442563,118.76800000000003,119.62500000000003,115.83539999999999,NaN,NaN,380,62.16654714328299,0.042166478125325535,NaN,NaN
89,119.94,119.94,119.94,119.94,121.73395016933712,118.89200000000005,119.70450000000001,115.91279999999999,NaN,NaN,100,60.97761244114687,0.041028948,NaN,NaN
90,120.07,120.07,120.07,120.07,121.64207116595038,119.13400000000004,119.65500000000002,115.98539999999998,NaN,NaN,700,61.44682194025477,0.039835007,NaN,NaN
91,120.04,120.04,120.04,120.04,121.55202974263138,119.38600000000004,119.6455,116.054,NaN,NaN,100,61.26375111958699,0.039708758,NaN,NaN
92,119.86,119.86,119.86,119.86,121.46378914777875,119.52700000000004,119.59700000000001,116.14599999999999,NaN,NaN,500,60.10663210433363,0.038723814966191414,NaN,NaN
93,119.75,119.85,119.75,119.85,121.37731336482318,119.62800000000004,119.60799999999999,116.25499999999998,NaN,NaN,316,60.03878699707304,0.038763916,NaN,NaN
94,119.9,120,119.9,120,121.29256709752671,119.74000000000005,119.60049999999998,116.36899999999997,NaN,NaN,500,60.75437545386485,0.038664342,NaN,NaN
95,119.2,119.2,119.16,119.16,121.20951575557618,119.72500000000005,119.44500000000001,116.46119999999999,NaN,NaN,420,54.83279347740893,0.032908967483114004,NaN,NaN
96,119.86,119.86,119.86,119.86,121.12812544046466,119.84400000000005,119.34200000000001,116.54299999999998,NaN,NaN,100,58.465825344565665,0.027176287,NaN,NaN
97,120.02,120.02,120.02,120.02,121.04836293165536,119.89600000000004,119.324,116.67859999999999,NaN,NaN,500,59.272212169581216,0.026527332,NaN,NaN
98,119.29,119.29,118.4,118.53,120.97019567302226,119.73300000000006,119.25050000000002,116.79999999999998,NaN,NaN,1200,49.612207073195286,0.026612911474008086,NaN,NaN
99,118.64,118.64,118.64,118.64,120.89359175956182,119.60300000000007,119.24750000000002,116.92339999999999,96.112641,NaN,100,50.25674945667683,0.026686917458318134,NaN,NaN
100,119.21,119.21,119.21,119.21,120.81851992437058,119.51700000000008,119.3255,117.05519999999999,97.045241,NaN,100,53.57097858,0.023687922449671266,NaN,NaN
101,119.57,119.57,119.38,119.45,120.74494952588317,119.45800000000008,119.422,117.20819999999998,97.988041,NaN,861,54.932525638606606,0.019177444056500615,NaN,NaN
102,119.54,120.46,119.54,120.46,120.67285053536551,119.51800000000007,119.5225,117.35619999999999,98.94264100000001,NaN,300,60.219510482953076,0.019059717,NaN,NaN
103,120.41,120.49,120.35,120.49,120.6021935246582,119.58200000000008,119.60499999999999,117.50399999999998,99.899841,NaN,500,60.36823167573186,0.019530927430647712,NaN,NaN
104,120.51,120.72,120.51,120.61,117.14,119.64300000000007,119.69149999999999,117.63619999999997,100.86224,NaN,1630,60.99636594,0.019989984147720595,NaN,NaN
105,120.92,120.92,120.87,120.87,117.2116,119.81400000000008,119.76950000000002,117.76979999999998,101.8014,NaN,220,62.38734258475135,0.021485636330633832,NaN,NaN
106,121,121,121,121,117.359936,119.92800000000007,119.88600000000001,117.96579999999999,102.7414,NaN,2500,63.09601049977653,0.021508517645035103,NaN,NaN
107,121.29,121.47,121.29,121.47,117.5783398,120.07300000000006,119.9845,118.18319999999999,103.676,NaN,200,65.61819370979222,0.024129284,NaN,NaN
108,121.66,121.66,121.66,121.66,117.8896727,120.38600000000005,120.0595,118.41639999999998,104.61120000000001,NaN,100,66.61162763537007,0.027006453,NaN,NaN
109,122.68,122.68,122.68,122.68,118.2667054,120.79000000000008,120.19650000000001,118.65459999999997,105.5562,NaN,100,71.39074882,0.032960044310946936,NaN,NaN
110,123.25,123.25,123.25,123.25,118.7963007410176,121.19400000000007,120.35550000000003,118.88219999999997,106.5073,NaN,200,73.65973716604904,0.039618491,NaN,NaN
111,122.67,122.82,122.67,122.82,119.41981863727514,121.53100000000009,120.49450000000002,119.119,107.45479999999999,NaN,200,69.20095605134577,0.043288522,NaN,NaN
112,122.75,122.75,122.58,122.58,119.95604402805662,121.74300000000008,120.63050000000001,119.37,108.39959999999999,NaN,242,66.77152405640531,0.04545671,NaN,NaN
113,121.44,121.53,121.44,121.53,120.4171978641287,121.84700000000007,120.7145,119.58259999999999,109.3343,NaN,300,57.29456846294055,0.045460597312905214,NaN,NaN
114,121.73,121.73,121.73,121.73,120.81379016315068,121.95900000000009,120.801,119.78219999999999,110.26979999999999,NaN,100,58.50272312737764,0.045651403,NaN,NaN
115,122.57,122.57,122.57,122.57,121.15485954030959,122.12900000000009,120.97149999999999,119.97359999999999,111.211,NaN,510,63.21032133212896,0.045500083,NaN,NaN
116,123.14,123.14,122.78,122.78,121.44817920466625,122.30700000000009,121.11749999999999,120.16599999999998,112.1559,NaN,300,64.30066793,0.046400561,NaN,NaN
