,open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,BBH,BBL
0,24.06,24.0775,24.01,24.045,23.8325,23.902500000000025,23.70381250000009,23.56537499999997,23.873500000000085,24.282437500000036,1309084,72.03792482253291,0.039428178,0.066872214,0.011372570699983051
1,24.0375,24.0575,23.98,23.9825,23.889,23.938000000000027,23.74243750000009,23.56592499999997,23.869050000000083,24.283337500000034,1035544,66.76549317306643,0.035655795,0.066872214,0.011372570699983051
2,23.9825,24.0075,23.9575,23.9725,23.9342,23.951250000000027,23.77193750000009,23.56787499999997,23.865425000000087,24.282012500000036,943000,65.93399023,0.033690732722632476,0.066872214,0.011372570699983051
3,23.9675,24.035,23.9475,24.015,24.115,23.966750000000026,23.80293750000009,23.56922499999997,23.86162500000009,24.280912500000042,1260884,67.77108286590268,0.031428882,0.066872214,0.011372570699983051
4,24.015,24.025,23.9725,23.97375,24.111649999999997,23.977875000000026,23.825625000000088,23.571049999999968,23.85716250000009,24.28003125000004,1032812,64.15482950150349,0.029994770006883983,0.066872214,0.011372570699983051
5,23.85,23.85,23.6275,23.67,24.108366999999998,23.954125000000026,23.832375000000088,23.56669999999997,23.84991250000009,24.277343750000043,2133876,45.07954676750233,0.028513858899712453,0.066872214,0.011372570699983051
6,23.67,23.7175,23.615,23.655,24.089132319999997,23.927625000000024,23.834687500000086,23.560349999999968,23.843037500000086,24.274625000000036,1355036,44.377821263460596,0.028046649415765318,0.066872214,0.011372570699983051
7,23.6575,23.75,23.6425,23.7475,24.060684380799998,23.912125000000024,23.843687500000087,23.55689999999997,23.836437500000088,24.27272500000004,815356,49.58913290124702,0.026343539638548776,0.066872214,0.011372570699983051
8,23.7475,23.7475,23.67,23.685,24.033943317951998,23.880875000000024,23.847687500000085,23.55174999999997,23.831187500000087,24.270587500000037,793776,46.42418677829135,0.025467245,0.066872214,0.011372570699983051
9,23.6825,23.7075,23.63,23.6775,24.00880671887488,23.842375000000025,23.850062500000085,23.54689999999997,23.82483750000009,24.267362500000036,690368,46.04441499325506,0.024947565559533674,0.066872214,0.011372570699983051
10,23.6775,23.725,23.655,23.7025,23.985178315742388,23.808125000000025,23.85531250000009,23.543049999999972,23.81926250000009,24.263862500000037,862784,47.583662613615736,0.023712247,0.066872214,0.011412782129077365
11,23.7025,23.76,23.6925,23.755,23.962967616797844,23.785375000000023,23.861687500000084,23.54094999999997,23.813612500000094,24.260400000000036,885580,50.76046366654426,0.022406409296664112,0.066872214,0.012467146677164418
12,23.6475,23.85,23.6275,23.655,23.942089559789974,23.753625000000024,23.852437500000086,23.533599999999968,23.806362500000095,24.256350000000033,2829332,45.147612623210115,0.023652449803535803,0.066872214,0.012888729166176281
13,23.6525,23.825,23.5925,23.79,23.922464186202575,23.731125000000027,23.848937500000083,23.539799999999968,23.800612500000092,24.253087500000035,2372772,52.74439545940042,0.023762593804247983,0.066872214,0.012972477881245364
14,23.7925,23.915,23.7725,23.89,23.5925,23.722750000000026,23.850312500000086,23.54844999999997,23.794587500000095,24.250125000000036,1409024,57.445799026548386,0.023804521,0.066872214,0.012972477881245364
15,23.8925,23.905,23.8225,23.835,23.5925,23.739250000000023,23.846687500000087,23.555999999999973,23.787562500000096,24.246937500000037,1114984,54.24901401,0.023710479038037913,0.066872214,0.012972477881245364
16,23.8375,23.8525,23.7575,23.7925,23.598950000000002,23.75300000000002,23.84031250000009,23.56319999999997,23.78033750000009,24.242400000000035,1172852,51.84798206203196,0.023620143899234405,0.066872214,0.012972477881245364
17,23.795,23.885,23.7925,23.8275,23.605271000000002,23.761000000000024,23.836562500000085,23.572999999999976,23.77401250000009,24.238137500000036,1271124,53.66669101412557,0.023504824042331247,0.066872214,0.013388342901921162
18,23.825,23.885,23.825,23.88,23.61146558,23.780500000000025,23.83068750000009,23.585899999999974,23.76813750000009,24.233462500000034,1393056,56.33107697251393,0.022758476943894965,0.066872214,0.013388342901921162
19,23.9375,24.1225,23.9275,24.065,23.617536268400002,23.81925000000002,23.830812500000086,23.60034999999997,23.764437500000096,24.229350000000032,1935272,64.15359443535738,0.022794384203037588,0.066872214,0.013388342901921162
20,24.0675,24.1225,24.0025,24.0425,23.63773482,23.853250000000024,23.830687500000085,23.62124999999997,23.761962500000095,24.22536250000003,1137752,62.682912690530436,0.022761572,0.066872214,0.013388342901921162
21,24.0425,24.07,23.97,24.0675,23.65712542495744,23.884500000000024,23.834937500000088,23.643299999999975,23.76183750000009,24.221237500000033,1042336,63.67922386572754,0.023746846,0.066872214,0.013388342901921162
22,24.0675,24.0675,23.9625,23.9775,23.67574040795914,23.916750000000025,23.835187500000085,23.662199999999974,23.76033750000009,24.216637500000036,1325796,57.70616667627356,0.023788051578052333,0.066872214,0.013388342901921162
23,23.9775,24.0075,23.9325,23.9675,23.693610791640776,23.934500000000025,23.832812500000088,23.681449999999973,23.75808750000009,24.21241250000004,868120,57.06567127524833,0.023344031,0.066872214,0.013388342901921162
24,23.97,23.975,23.905,23.95,23.710766359975146,23.94050000000002,23.831625000000088,23.701549999999976,23.75423750000009,24.207987500000037,994908,55.896439347956836,0.023158650756499474,0.066872214,0.013388342901921162
25,23.95,24.0025,23.9375,23.985,23.727235705576142,23.955500000000022,23.84737500000009,23.722949999999972,23.750812500000094,24.203800000000037,660752,57.76049648139122,0.022912443734561982,0.066872214,0.013388342901921162
