,open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,bbhj,bbl
0,148.96,149.1,148.81,149.03,151.21464,150.70900000000023,151.5354999999998,151.5858000000001,151.78505000000007,150.30807500000017,17732,27.425589502075212,0.033440409673710474,0.04130276,0.010133766166683253
1,149,149,148.75,148.75,150.8023904,150.39500000000027,151.3464999999998,151.5112000000001,151.7662500000001,150.31827500000017,28495,25.915919444902016,0.036504114998253206,0.04130276,0.010133766166683253
2,148.78,149.01,148.53,148.81,150.4478557,150.12900000000022,151.1624999999998,151.43780000000007,151.7420500000001,150.32842500000018,47040,26.845199894263445,0.038620766710829674,0.04130276,0.010133766166683253
3,148.81,148.89,148.55,148.79,150.14295593984002,149.86900000000023,150.99349999999978,151.3702000000001,151.7189500000001,150.33802500000016,35980,26.72486244209462,0.040456789,0.04130276,0.010133766166683253
4,149.49,149.79,148.67,149.79,149.8807421082624,149.65800000000021,150.8559999999998,151.3186000000001,151.7037500000001,150.35462500000017,18699,40.97251027899432,0.03991599,0.04130276,0.010133766166683253
5,149.79,150.02,149.75,149.91,148.27,149.45200000000023,150.71049999999977,151.26180000000008,151.6895500000001,150.37192500000015,11911,42.41937794514534,0.038433228500810976,0.04130276,0.010133766166683253
6,149.88,149.95,149.83,149.95,148.305,149.2490000000002,150.5734999999998,151.2034000000001,151.6643500000001,150.38702500000016,4312,42.921615975129896,0.036724679,0.04130276,0.010133766166683253
7,149.95,149.99,149.81,149.82,148.3393,149.2770000000002,150.4379999999998,151.1512000000001,151.63435000000013,150.40127500000014,5220,41.65011274378213,0.034970140231822495,0.04130276,0.010133766166683253
8,149.88,149.91,149.73,149.75,148.372914,149.3520000000002,150.31549999999976,151.0986000000001,151.60435000000012,150.41050000000016,7000,40.946716800083344,0.033483031,0.04130276,0.010133766166683253
9,149.78,149.9,149.63,149.88,148.4058557,149.4480000000002,150.22099999999978,151.0544000000001,151.5736500000001,150.42160000000015,14317,42.87615600249363,0.032371548,0.04130276,0.010133766166683253
10,149.86,149.89,149.5,149.54,148.43813860560002,149.49900000000022,150.1039999999998,151.01280000000008,151.53865000000013,150.43160000000015,17119,39.26296903029817,0.03096084,0.04130276,0.010133766166683253
11,149.49,150.18,149.06,150.18,148.46977583348803,149.64200000000022,150.0184999999998,150.9870000000001,151.51255000000012,150.44200000000015,8603,48.12474171448888,0.029004960929180045,0.04130276,0.010133766166683253
12,150.19,150.33,150.07,150.26,148.5381848001485,149.7870000000002,149.9579999999998,150.9926000000001,151.4907500000001,150.45320000000015,10445,49.12399310480605,0.027685465,0.04130276,0.010133766166683253
13,150.215,150.27,149.78,149.82,148.6456937121396,149.89000000000024,149.8794999999998,150.9830000000001,151.4553500000001,150.46290000000013,6300,44.093230950741834,0.026278296338781808,0.04130276,0.010133766166683253
14,149.96,149.96,149.34,149.34,148.74675208941122,149.84500000000023,149.7514999999998,150.9698000000001,151.4179500000001,150.47010000000014,1912,39.357949163978994,0.023340707741665297,0.04130276,0.010133766166683253
15,149.4,149.67,149.35,149.67,148.84174696404654,149.82100000000023,149.63649999999978,150.9576000000001,151.38305000000008,150.48255000000015,7311,43.824556745524646,0.018988600303903418,0.04130276,0.010133766166683253
16,149.69,149.74,149.25,149.29,148.93104214620374,149.75500000000022,149.50199999999978,150.94420000000008,151.3414500000001,150.49360000000016,7400,40.15666974442662,0.012489572781391048,0.04130276,0.010133766166683253
17,149.25,149.28,148.95,149.12,150.33,149.68500000000023,149.4809999999998,150.92680000000007,151.2988500000001,150.50535000000013,13310,38.60020931724728,0.012684253195120003,0.04130276,0.010133766166683253
18,148.96,149.98,147.78,148.15,150.3024,149.52500000000023,149.43849999999978,150.8880000000001,151.2473500000001,150.50905000000014,20780,31.175198122445025,0.014658194,0.04130276,0.010133766166683253
19,148.07,148.56,147.94,148.17,150.201504,149.35400000000024,149.40099999999978,150.82680000000008,151.1999500000001,150.51220000000015,17389,31.46791270394729,0.016186374469684083,0.04130276,0.010133766166683253
20,148.24,148.62,148.07,148.58,150.1046438,149.2580000000002,149.37849999999975,150.76300000000006,151.1490500000001,150.51770000000016,14327,37.35034101520925,0.016761434,0.04130276,0.010133766166683253
21,148.62,149.16,148.61,149.15,150.0116581,149.15500000000023,149.39849999999976,150.72140000000007,151.1004500000001,150.52665000000013,16110,44.484643212144704,0.016379772232223956,0.04130276,0.010133766166683253
22,149.15,149.27,148.97,149.26,149.9223918,149.05500000000023,149.42099999999976,150.68320000000008,151.05285000000012,150.54310000000015,10055,45.76812561252456,0.016004094052700008,0.04130276,0.010133766166683253
23,149.25,149.43,149.16,149.3,149.83669609242622,149.0030000000002,149.44649999999976,150.6358000000001,151.00985000000009,150.55605000000014,22544,46.254722227999636,0.015551216455398888,0.04130276,0.010133766166683253
24,149.3,149.53,149.15,149.5,149.75442824872917,149.0190000000002,149.4319999999998,150.5970000000001,150.9705500000001,150.56895000000014,27005,48.73167804311213,0.015414666053622222,0.04130276,0.010133766166683253
25,149.82,150.61,149.82,150.29,147.78,149.08100000000022,149.45099999999977,150.5704000000001,150.9401500000001,150.58540000000013,10809,57.13518688482716,0.015983636,0.04130276,0.010133766166683253
26,150.3,150.3,149.93,150.02,147.8366,149.1540000000002,149.45449999999977,150.5200000000001,150.90885000000011,150.59975000000014,10414,53.88434729,0.016066532,0.04130276,0.010133766166683253
27,149.98,149.98,149.43,149.58,147.892068,149.20000000000022,149.44249999999982,150.4618000000001,150.8667500000001,150.61190000000013,8534,48.99227268884914,0.015932688423308274,0.04130276,0.010133766166683253
