open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,HRef,LRef
105.1,105.32,105.05,105.26,105.03600925373242,105.0679999999999,104.6230000000002,103.90049999999977,103.15329999999976,103.44345000000033,24740,64.26684257374612,0.01886149695905,0.053452148,0.006058147
105.24,105.3,105.19,105.27,105.05,105.14599999999992,104.6725000000002,103.94769999999976,103.16429999999976,103.45710000000032,23945,64.40604519530781,0.0193343399914494,0.053452148,0.006058147
105.66,106.5,105.66,106.43,105.05,105.30499999999992,104.79150000000024,104.01629999999976,103.18649999999975,103.47760000000032,60843,76.05764500956435,0.023433495,0.053452148,0.006058147
106.38,106.62,106.33,106.33,105.19,105.4479999999999,104.89050000000024,104.08149999999976,103.20669999999976,103.49587500000032,51268,73.81439802945383,0.0263016775993261,0.053452148,0.006058147
106.34,106.44,106.26,106.36,105.4474,105.5869999999999,105.0070000000002,104.15269999999975,103.24169999999978,103.51325000000033,35906,74.06156133026424,0.0278118702807875,0.053452148,0.006058147
106.36,106.4,106.15,106.3,105.658468,105.67099999999988,105.1185000000002,104.22529999999976,103.27269999999976,103.53115000000032,46991,72.58589442976948,0.0284839335686063,0.053452148,0.006058147
106.31,106.36,106.16,106.32,105.8315438,105.7849999999999,105.2355000000002,104.29689999999977,103.3028999999998,103.54705000000033,54236,72.78058178247775,0.0282914017987713,0.053452148,0.006058147
106.31,106.47,106.21,106.41,105.9734659,105.9099999999999,105.3440000000002,104.37329999999976,103.33609999999976,103.56315000000032,57663,73.68619853900904,0.028456705,0.053452148,0.006058147
106.41,106.585,106.35,106.565,106.089842024224,106.03349999999988,105.4677500000002,104.44979999999975,103.3716499999998,103.58177500000032,60302,75.21558803331872,0.0279281757246858,0.053452148,0.006058147
106.42,106.91,106.27,106.33,106.18527045986367,106.15749999999991,105.5642500000002,104.51619999999976,103.4072499999998,103.59892500000032,34090,68.6964572,0.027142491662214,0.053452148,0.006058147
106.35,106.44,105.965,105.97,106.91,106.22849999999993,105.64825000000022,104.56589999999974,103.44244999999977,103.61572500000032,33819,60.10249110152093,0.0249168635382062,0.053452148,0.006058147
105.96,106.01,105.76,105.88,106.91,106.2894999999999,105.7177500000002,104.62329999999974,103.49334999999978,103.63212500000031,24359,58.14414269253211,0.0228240064595477,0.053452148,0.006058147
105.87,105.95,105.77,105.84,106.864,106.23049999999992,105.7677500000002,104.67829999999977,103.54304999999977,103.64882500000031,23231,57.251279643529024,0.0215137012796278,0.053452148,0.006058147
105.87,105.94,105.74,105.79,106.81984,106.17649999999988,105.8122500000002,104.72709999999977,103.5929499999998,103.66262500000032,35966,56.09177430384128,0.020145782,0.053452148,0.006058147
105.8,105.82,105.64,105.71,106.7550496,106.11149999999992,105.8492500000002,104.77369999999976,103.64074999999976,103.6761250000003,42552,54.20032749964809,0.0188071358661641,0.053452148,0.006058147
105.7,105.82,105.69,105.735,106.6658456,106.05499999999992,105.8630000000002,104.81779999999976,103.6874999999998,103.69110000000028,39111,54.71424250127218,0.0185327423287221,0.053452148,0.006058147
106.24,106.37,105.89,106.18,106.583778,106.04099999999993,105.9130000000002,104.87299999999972,103.73999999999975,103.7057500000003,41460,62.73073569759042,0.0177050999968717,0.053452148,0.006058147
106.22,106.33,105.81,105.815,106.5082757429248,105.98149999999993,105.9457500000002,104.91149999999976,103.78804999999976,103.7179750000003,54980,54.24820059,0.016493034181977,0.053452148,0.006058147
105.83,105.94,105.59,105.67,106.4388136834908,105.89199999999992,105.9627500000002,104.95769999999976,103.82954999999976,103.7286250000003,36722,51.28155096,0.0158090023612639,0.053452148,0.006058147
105.7,105.88,105.62,105.84,106.35393231514172,105.84299999999992,106.0002500000002,105.00569999999976,103.87054999999977,103.73867500000031,52410,54.42816204049133,0.0139494098365885,0.053452148,0.006058147
105.86,106.34,105.79,106.34,105.59,105.87999999999992,106.05425000000022,105.05889999999974,103.91724999999978,103.7535250000003,39539,62.16774571305163,0.0126283246273361,0.053452148,0.006058147
106.34,106.34,106.09,106.095,105.605,105.9014999999999,106.0955000000002,105.11339999999971,103.96229999999976,103.7682500000003,38045,57.05455338313477,0.010646009,0.053452148,0.006058147
106.09,106.19,106.02,106.13,105.6197,105.93049999999992,106.0805000000002,105.16619999999972,104.00529999999976,103.7832000000003,28114,57.59117710963872,0.0102557207323606,0.053452148,0.006058147
105.9,106.0,105.46,105.65,106.34,105.9164999999999,106.04650000000022,105.20799999999974,104.04219999999978,103.7956000000003,46768,48.618671975774966,0.0105999125549028,0.053452148,0.006058147
105.65,105.71,105.275,105.67,106.3224,105.91249999999992,106.01200000000024,105.24359999999972,104.07899999999977,103.80920000000032,45739,48.97537845191095,0.0106691665100988,0.053452148,0.006058147
105.66,105.7,105.32,105.32,106.280504,105.8709999999999,105.96300000000024,105.26639999999972,104.11179999999976,103.81925000000032,47687,43.30898869324964,0.0117781194468238,0.053452148,0.006058147
105.31,105.34,105.1,105.13,106.2402838,105.76599999999988,105.90350000000024,105.28339999999974,104.14289999999976,103.82582500000032,30700,40.56518909620068,0.0131997512197731,0.053452148,0.006058147
105.11,105.28,103.72,103.99,106.1718668,105.58349999999987,105.78250000000024,105.27679999999977,104.15799999999976,103.82897500000033,112940,28.7826082994612,0.0199280315889265,0.053452148,0.006058147
103.96,104.48,103.55,104.32,105.9757175,105.4484999999999,105.67025000000024,105.28039999999976,104.17409999999975,103.83382500000032,112948,34.69579810884271,0.0221198765598965,0.053452148,0.006058147
