open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,bbhj,bbl
148.96,149.1,148.81,149.03,151.21464,150.70900000000023,151.5354999999998,151.5858000000001,151.78505000000007,150.30807500000017,17732,27.42558950207521,0.0334404096737104,0.04130276,0.0101337661666832
149.0,149.0,148.75,148.75,150.8023904,150.39500000000027,151.3464999999998,151.5112000000001,151.7662500000001,150.31827500000017,28495,25.915919444902016,0.0365041149982532,0.04130276,0.0101337661666832
148.78,149.01,148.53,148.81,150.4478557,150.12900000000022,151.1624999999998,151.43780000000007,151.7420500000001,150.32842500000018,47040,26.845199894263445,0.0386207667108296,0.04130276,0.0101337661666832
148.81,148.89,148.55,148.79,150.14295593984002,149.86900000000023,150.99349999999978,151.3702000000001,151.7189500000001,150.33802500000016,35980,26.72486244209462,0.040456789,0.04130276,0.0101337661666832
149.49,149.79,148.67,149.79,149.8807421082624,149.6580000000002,150.8559999999998,151.3186000000001,151.7037500000001,150.35462500000017,18699,40.97251027899432,0.03991599,0.04130276,0.0101337661666832
149.79,150.02,149.75,149.91,148.27,149.45200000000025,150.71049999999977,151.26180000000008,151.6895500000001,150.37192500000015,11911,42.41937794514534,0.0384332285008109,0.04130276,0.0101337661666832
149.88,149.95,149.83,149.95,148.305,149.2490000000002,150.5734999999998,151.2034000000001,151.6643500000001,150.38702500000016,4312,42.921615975129896,0.036724679,0.04130276,0.0101337661666832
149.95,149.99,149.81,149.82,148.3393,149.2770000000002,150.4379999999998,151.1512000000001,151.63435000000013,150.40127500000014,5220,41.65011274378213,0.0349701402318224,0.04130276,0.0101337661666832
149.88,149.91,149.73,149.75,148.372914,149.3520000000002,150.31549999999976,151.0986000000001,151.60435000000012,150.41050000000016,7000,40.946716800083344,0.033483031,0.04130276,0.0101337661666832
149.78,149.9,149.63,149.88,148.4058557,149.4480000000002,150.22099999999978,151.0544000000001,151.5736500000001,150.42160000000015,14317,42.87615600249363,0.032371548,0.04130276,0.0101337661666832
149.86,149.89,149.5,149.54,148.43813860560002,149.49900000000022,150.1039999999998,151.01280000000008,151.53865000000013,150.43160000000017,17119,39.26296903029817,0.03096084,0.04130276,0.0101337661666832
149.49,150.18,149.06,150.18,148.46977583348803,149.64200000000022,150.0184999999998,150.9870000000001,151.51255000000012,150.44200000000015,8603,48.12474171448888,0.02900496092918,0.04130276,0.0101337661666832
150.19,150.33,150.07,150.26,148.5381848001485,149.7870000000002,149.9579999999998,150.9926000000001,151.4907500000001,150.45320000000015,10445,49.12399310480605,0.027685465,0.04130276,0.0101337661666832
150.215,150.27,149.78,149.82,148.6456937121396,149.89000000000024,149.8794999999998,150.9830000000001,151.4553500000001,150.46290000000013,6300,44.09323095074184,0.0262782963387818,0.04130276,0.0101337661666832
149.96,149.96,149.34,149.34,148.74675208941122,149.84500000000023,149.7514999999998,150.9698000000001,151.4179500000001,150.47010000000014,1912,39.357949163978994,0.0233407077416652,0.04130276,0.0101337661666832
149.4,149.67,149.35,149.67,148.84174696404654,149.82100000000025,149.63649999999978,150.9576000000001,151.38305000000008,150.48255000000017,7311,43.824556745524646,0.0189886003039034,0.04130276,0.0101337661666832
